date,temp_avg,count_rb,count_g,avg_svl_rb,avg_svl_g,avg_time,site,boards,mowed,field_200m,field_900m,field_1000m,forest_200m,forest_300m,forest_700m,forest_800m,road_300m,road_500m,road_800m,sides_300m,sides_500m,sides_600m,urban_100m,urban_200m,urban_300m,urban_1000m,water_600m,water_800m,water_900m
2020225,28.7,0,0,,,1300,1,20,0,0.647727273,0.374468085,0.360587002,0.090909091,0.161676647,0.138398915,0.155720339,4.385431364,3.564702498,3.336447705,1,1,1,0.121212121,0.136363636,0.161676647,0.259958071,0.242857143,0.254237288,0.258723404
2020234,18.5,0,3,,24.93333333,848.6666667,1,20,0,0.647727273,0.374468085,0.360587002,0.090909091,0.161676647,0.138398915,0.155720339,4.385431364,3.564702498,3.336447705,1,1,1,0.121212121,0.136363636,0.161676647,0.259958071,0.242857143,0.254237288,0.258723404
2020241,20.9,4,4,7.325,22.75,1532.875,1,20,0,0.647727273,0.374468085,0.360587002,0.090909091,0.161676647,0.138398915,0.155720339,4.385431364,3.564702498,3.336447705,1,1,1,0.121212121,0.136363636,0.161676647,0.259958071,0.242857143,0.254237288,0.258723404
2020244,17.8,2,3,20.45,18.66666667,984.8,1,20,0,0.647727273,0.374468085,0.360587002,0.090909091,0.161676647,0.138398915,0.155720339,4.385431364,3.564702498,3.336447705,1,1,1,0.121212121,0.136363636,0.161676647,0.259958071,0.242857143,0.254237288,0.258723404
2020248,19.1,8,2,9,20.85,1210,1,20,0,0.647727273,0.374468085,0.360587002,0.090909091,0.161676647,0.138398915,0.155720339,4.385431364,3.564702498,3.336447705,1,1,1,0.121212121,0.136363636,0.161676647,0.259958071,0.242857143,0.254237288,0.258723404
2020255,13,9,1,10.7,49,963.6,1,20,0,0.647727273,0.374468085,0.360587002,0.090909091,0.161676647,0.138398915,0.155720339,4.385431364,3.564702498,3.336447705,1,1,1,0.121212121,0.136363636,0.161676647,0.259958071,0.242857143,0.254237288,0.258723404
2020262,10.16666667,6,3,14.33333333,37.3,1789.666667,1,20,0,0.647727273,0.374468085,0.360587002,0.090909091,0.161676647,0.138398915,0.155720339,4.385431364,3.564702498,3.336447705,1,1,1,0.121212121,0.136363636,0.161676647,0.259958071,0.242857143,0.254237288,0.258723404
2020269,11.18571429,6,0,11.2,,863.2857143,1,20,0,0.647727273,0.374468085,0.360587002,0.090909091,0.161676647,0.138398915,0.155720339,4.385431364,3.564702498,3.336447705,1,1,1,0.121212121,0.136363636,0.161676647,0.259958071,0.242857143,0.254237288,0.258723404
2020277,11.36,13,2,11.29230769,18.85,1404.066667,1,20,0,0.647727273,0.374468085,0.360587002,0.090909091,0.161676647,0.138398915,0.155720339,4.385431364,3.564702498,3.336447705,1,1,1,0.121212121,0.136363636,0.161676647,0.259958071,0.242857143,0.254237288,0.258723404
2020283,7.9,0,0,,,900,1,20,0,0.647727273,0.374468085,0.360587002,0.090909091,0.161676647,0.138398915,0.155720339,4.385431364,3.564702498,3.336447705,1,1,1,0.121212121,0.136363636,0.161676647,0.259958071,0.242857143,0.254237288,0.258723404
2020292,12.8,0,1,,19.5,1514,1,20,0,0.647727273,0.374468085,0.360587002,0.090909091,0.161676647,0.138398915,0.155720339,4.385431364,3.564702498,3.336447705,1,1,1,0.121212121,0.136363636,0.161676647,0.259958071,0.242857143,0.254237288,0.258723404
2021139,29.5,0,0,,,1430,2,20,0,0.12195122,0.256920415,0.250355619,0.268292683,0.217391304,0.168055556,0.174242424,0,1.835120619,3.277051952,1,2,2,0.275862069,0.182926829,0.186335404,0.322901849,0.273394495,0.261904762,0.256920415
